County_Name,State,Labor_Force,Employed,Unemployed,Unemployment_Rate
Highland County, OH,"17,138     ","16,194     ",944     ,5.5     
Hocking County, OH,"12,959     ","12,301     ",658     ,5.1     
Holmes County, OH,"20,652     ","19,979     ",673     ,3.3     
Huron County, OH,"27,954     ","26,316     ","1,638     ",5.9     
Jackson County, OH,"12,788     ","11,957     ",831     ,6.5     
Jefferson County, OH,"27,674     ","25,940     ","1,734     ",6.3     
Knox County, OH,"31,379     ","30,020     ","1,359     ",4.3     
Lake County, OH,"127,039     ","121,618     ","5,421     ",4.3     
Lawrence County, OH,"23,797     ","22,471     ","1,326     ",5.6     
Licking County, OH,"89,426     ","85,887     ","3,539     ",4.0     
Logan County, OH,"23,127     ","22,270     ",857     ,3.7     
Lorain County, OH,"154,668     ","147,076     ","7,592     ",4.9     
Lucas County, OH,"209,633     ","198,680     ","10,953     ",5.2     
Madison County, OH,"20,585     ","19,803     ",782     ,3.8     
Mahoning County, OH,"104,224     ","98,091     ","6,133     ",5.9     
Marion County, OH,"28,471     ","27,215     ","1,256     ",4.4     
Medina County, OH,"97,984     ","94,194     ","3,790     ",3.9     
Meigs County, OH,"8,964     ","8,319     ",645     ,7.2     
Mercer County, OH,"23,625     ","22,978     ",647     ,2.7     
Miami County, OH,"53,726     ","51,632     ","2,094     ",3.9     
Monroe County, OH,"5,188     ","4,787     ",401     ,7.7     
Montgomery County, OH,"250,991     ","239,637     ","11,354     ",4.5     
Morgan County, OH,"6,710     ","6,310     ",400     ,6.0     
Morrow County, OH,"16,655     ","15,889     ",766     ,4.6     
Muskingum County, OH,"39,544     ","37,457     ","2,087     ",5.3     
Noble County, OH,"4,767     ","4,451     ",316     ,6.6     
Ottawa County, OH,"21,096     ","19,773     ","1,323     ",6.3     
Paulding County, OH,"8,751     ","8,396     ",355     ,4.1     
Perry County, OH,"15,752     ","14,868     ",884     ,5.6     
Pickaway County, OH,"26,160     ","25,036     ","1,124     ",4.3     
Pike County, OH,"10,867     ","10,163     ",704     ,6.5     
Portage County, OH,"86,946     ","82,995     ","3,951     ",4.5     
Preble County, OH,"21,164     ","20,306     ",858     ,4.1     
Putnam County, OH,"18,662     ","18,039     ",623     ,3.3     
Richland County, OH,"52,829     ","50,245     ","2,584     ",4.9     
Ross County, OH,"34,790     ","33,220     ","1,570     ",4.5     
Sandusky County, OH,"30,877     ","29,484     ","1,393     ",4.5     
Scioto County, OH,"28,968     ","27,024     ","1,944     ",6.7     
Seneca County, OH,"27,211     ","26,015     ","1,196     ",4.4     
Shelby County, OH,"23,977     ","23,078     ",899     ,3.7     
Stark County, OH,"186,047     ","176,955     ","9,092     ",4.9     
Summit County, OH,"271,361     ","258,743     ","12,618     ",4.6     
Trumbull County, OH,"87,625     ","82,192     ","5,433     ",6.2     
Tuscarawas County, OH,"44,557     ","42,533     ","2,024     ",4.5     
Union County, OH,"28,630     ","27,638     ",992     ,3.5     
Van Wert County, OH,"14,406     ","13,901     ",505     ,3.5     
Vinton County, OH,"5,497     ","5,158     ",339     ,6.2     
Warren County, OH,"118,208     ","113,665     ","4,543     ",3.8     
Washington County, OH,"27,154     ","25,634     ","1,520     ",5.6     
Wayne County, OH,"61,098     ","58,905     ","2,193     ",3.6     
Williams County, OH,"18,950     ","18,264     ",686     ,3.6     
Wood County, OH,"70,786     ","67,961     ","2,825     ",4.0     
Wyandot County, OH,"12,711     ","12,304     ",407     ,3.2     
