County_Name,State,Labor_Force,Employed,Unemployed,Unemployment_Rate
Lucas County, OH,"210,209     ","200,417     ","9,792     ",4.7     
Madison County, OH,"20,804     ","20,091     ",713     ,3.4     
Mahoning County, OH,"103,081     ","97,180     ","5,901     ",5.7     
Marion County, OH,"28,444     ","27,292     ","1,152     ",4.1     
Medina County, OH,"97,857     ","94,520     ","3,337     ",3.4     
Meigs County, OH,"9,057     ","8,428     ",629     ,6.9     
Mercer County, OH,"23,398     ","22,787     ",611     ,2.6     
Miami County, OH,"54,117     ","52,125     ","1,992     ",3.7     
Monroe County, OH,"5,345     ","4,903     ",442     ,8.3     
Montgomery County, OH,"252,534     ","241,945     ","10,589     ",4.2     
Morgan County, OH,"6,714     ","6,280     ",434     ,6.5     
Morrow County, OH,"16,815     ","16,124     ",691     ,4.1     
Muskingum County, OH,"39,532     ","37,592     ","1,940     ",4.9     
Noble County, OH,"4,699     ","4,377     ",322     ,6.9     
Ottawa County, OH,"21,050     ","19,862     ","1,188     ",5.6     
Paulding County, OH,"8,628     ","8,297     ",331     ,3.8     
Perry County, OH,"15,914     ","15,087     ",827     ,5.2     
Pickaway County, OH,"26,460     ","25,404     ","1,056     ",4.0     
Pike County, OH,"10,824     ","10,155     ",669     ,6.2     
Portage County, OH,"87,309     ","83,621     ","3,688     ",4.2     
Preble County, OH,"21,136     ","20,342     ",794     ,3.8     
Putnam County, OH,"18,817     ","18,235     ",582     ,3.1     
Richland County, OH,"52,246     ","49,884     ","2,362     ",4.5     
Ross County, OH,"35,318     ","33,829     ","1,489     ",4.2     
Sandusky County, OH,"30,506     ","29,193     ","1,313     ",4.3     
Scioto County, OH,"28,862     ","27,056     ","1,806     ",6.3     
Seneca County, OH,"27,313     ","26,184     ","1,129     ",4.1     
Shelby County, OH,"24,178     ","23,325     ",853     ,3.5     
Stark County, OH,"185,736     ","177,352     ","8,384     ",4.5     
Summit County, OH,"272,341     ","260,690     ","11,651     ",4.3     
Trumbull County, OH,"86,758     ","81,440     ","5,318     ",6.1     
Tuscarawas County, OH,"44,840     ","42,908     ","1,932     ",4.3     
Union County, OH,"28,974     ","28,041     ",933     ,3.2     
Van Wert County, OH,"15,054     ","14,563     ",491     ,3.3     
Vinton County, OH,"5,560     ","5,246     ",314     ,5.6     
Warren County, OH,"119,179     ","115,000     ","4,179     ",3.5     
Washington County, OH,"27,390     ","25,918     ","1,472     ",5.4     
Wayne County, OH,"62,073     ","60,061     ","2,012     ",3.2     
Williams County, OH,"18,992     ","18,363     ",629     ,3.3     
Wood County, OH,"71,161     ","68,553     ","2,608     ",3.7     
Wyandot County, OH,"12,975     ","12,569     ",406     ,3.1     
,,,,,
